names,date_x,score,genre,overview,orig_title,status,orig_lang,budget_x,revenue,country
Jurassic Park,09/02/1993 ,79.0,"Adventure, Science Fiction","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",Jurassic Park, Released, English,63000000.0,1045573035.0,AU
Halo Legends,02/20/2010 ,74.0,"Animation, War, Action, Science Fiction",The universe of the Halo video game series is expanded in seven short animated films from Japan's greatest anime directors and studios.,Halo Legends, Released, English,2062000.0,11000000.0,AU
The Count of Monte Cristo,01/23/2002 ,77.0,"Adventure, Drama, History","Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",The Count of Monte Cristo, Released, English,40000000.0,75389090.0,US
Taste 2,09/02/2015 ,56.0,Romance,"Heon-sub is in his third year of cooking major at the Samjin University.  He gets a job at the cooking school run by Jeong-min, who lectures at his school department.  From a great looking professor to sexy students who have their eyes on young men, a married woman who tries hard to make things right in bed with her husband and the girl who dumped him right away at the blind date! Heon-sub is the only guy at the cooking club and his adult-rated eating fantasy begins.", 맛 2, Released, Korean,80300000.0,176682291.4,KR
All the Bright Places,02/28/2020 ,77.0,"Romance, Drama",Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,All the Bright Places, Released, English,68580000.0,469250552.0,US
Siren XXX: Magical Pleasure,08/13/2010 ,43.0,"Thriller, Drama","In a rural port town, Kenji Ishikawa runs a barber shop together with his new wife, who speaks very little and has mysterious eyes to match her amorous presence. Running the shop isn’t easy as hardly any customers come…  One evening, a man comes to the shop, as if lured by the faint hum of the wife. As the man takes a seat, Kenji exits his shop. The wife then gently fingers the man’s neck…", 妖女伝説セイレーンXXX～魔性の悦楽～, Released, Japanese,119800000.0,864400677.8,JP
Neon Genesis Evangelion: The End of Evangelion,09/02/2004 ,84.0,"Animation, Science Fiction, Action","The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.", 新世紀エヴァンゲリオン劇場版 Air／まごころを、君に, Released, Japanese,2937023.8,20000000.0,AU
Toy Story That Time Forgot,09/21/2015 ,70.0,"Animation, Family, Adventure, Comedy","During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",Toy Story That Time Forgot, Released, English,82500000.0,626345086.0,AU
House of Gucci,01/01/2022 ,66.0,"Drama, Crime, History","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately… murder.",House of Gucci, Released, English,75000000.0,147474138.0,AU
Pretty Baby,04/05/1978 ,69.0,Drama,"Hattie, a New Orleans prostitute, meets a photographer named Bellocq at her brothel one night and, after he photographs her, he befriends her 12-year-old daughter, Violet. When Violet is brought on as a working girl by her mother's madam and Hattie skips town to get married, Violet quickly loses her innocence and focuses on reuniting with Bellocq. But a life with Bellocq is compromised for Violet after her mother returns to town.",Pretty Baby, Released, English,56000004.0,5786368.0,US
One Flew Over the Cuckoo's Nest,04/01/1976 ,84.0,Drama,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients - and an enemy to the cruel, domineering nurse who runs the ward.",One Flew Over the Cuckoo's Nest, Released, English,4400000.0,163274115.0,AU
The Seventh Day,03/26/2021 ,54.0,Horror,"A renowned exorcist teams up with a rookie priest for his first day of training. As they plunge deeper into hell on earth, the lines between good and evil blur, and their own demons emerge.",The Seventh Day, Released, English,130800000.0,249577615.2,US
Left Behind,10/03/2014 ,42.0,"Thriller, Action, Science Fiction",A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.,Left Behind, Released, English,18500000.0,4224065.0,US
Left Behind,10/03/2014 ,42.0,"Thriller, Action, Science Fiction",A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.,Left Behind, Released, English,16000000.0,20769209.0,US
"Big Mommas: Like Father, Like Son",02/17/2011 ,55.0,"Crime, Comedy, Action","FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them.","Big Mommas: Like Father, Like Son", Released, English,32000000.0,82332450.0,AU
Sleepy Hollow,01/01/2000 ,72.0,"Drama, Fantasy, Thriller, Mystery, Horror",New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. Locals believe the culprit to be none other than the legendary Headless Horseman.,Sleepy Hollow, Released, English,70000000.0,207068340.0,AU
Bedtime Stories,12/26/2008 ,61.0,"Fantasy, Comedy, Family, Romance",Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,Bedtime Stories, Released, English,80000000.0,221468935.0,AU
P.O. Box Tinto Brass,08/30/1995 ,54.0,Comedy,"This film is a series of letters, photos and video cassettes which women often send in to certain newspapers. By visualizing their story-telling (the name given by the psychologists to their fantasies) the film portrays the confessions, the secret longings, the adventures, recollections, dreams, desires and fantasies of these women. It is an open secret that most women dream of forbidden affairs, secret lovers and hasty encounters but when it comes down to it they lack the courage to pursue their dreams.", Fermo posta Tinto Brass, Released, Italian,76000000.0,152911218.6,IT
A Good Day to Die Hard,03/20/2013 ,53.0,"Action, Thriller","Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",A Good Day to Die Hard, Released, English,92000000.0,304249198.0,AU
The People We Hate at the Wedding,11/18/2022 ,63.0,Comedy,"A dysfunctional family that can't seem to get along and get it together reluctantly reunites for a family wedding. As their many skeletons are wrenched from the closet, it turns out to be just what this singular family needs to reconnect.",The People We Hate at the Wedding, Released, English,110000000.0,271669045.6,AU
The Blair Witch Project,12/09/1999 ,63.0,"Horror, Mystery","In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",The Blair Witch Project, Released, English,600000.0,248300000.0,AU
Escape Plan 2: Hades,06/29/2018 ,51.0,"Action, Crime, Thriller","Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray must track him down with the help of some of his former friends.",Escape Plan 2: Hades, Released, English,20000000.0,17500000.0,US
Ghostbusters,11/15/1984 ,75.0,"Comedy, Fantasy","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",Ghostbusters, Released, English,144000000.0,229008658.0,AU
Ghostbusters,11/15/1984 ,75.0,"Comedy, Fantasy","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",Ghostbusters, Released, English,30000000.0,295585416.0,AU
The Grudge,11/18/2004 ,59.0,"Horror, Mystery, Thriller","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",The Grudge, Released, English,10000000.0,187281115.0,AU
The Grudge,11/18/2004 ,59.0,"Horror, Mystery, Thriller","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",The Grudge, Released, English,10000000.0,49503117.0,AU
Cosas de amigos,04/28/2022 ,60.0,Comedy,"When a man tells his friends that he is gay and asks for the appropriate emotional support, one of them, the most conservative, decides to try to reverse the situation. From there, a series of comic situations are unleashed that will take the group through different emotional stages that will help them reinvent friendship.",Cosas de amigos, Released,Spanish,114200000.0,241031716.6,PE
Liao Zhai - Home for the Intimate Ghosts,01/01/1991 ,55.0,Fantasy,"Very seldom shown erotic story of a cuckolded husband who departs his home and unwittingly becomes included with not one, but two, alluring ghosts. [Rim movies Catalog] Mandy and his spouse (that's right, Mandy is a man) will be an uncommon few under any conditions. Mandy fools around with young women while his spouse is within the home, nevertheless the wife isn't bothered a lot. She is just considering in the job she's offered Mandy, which is .... to frequently check with the neighborhood brothelkeeper, and find away if she's found guys with incredibly difficult manhoods. How hard ? Complicated enough to punch an opening in a sack of grain (ouch !). And one more thing. Mandy and his wife are ghosts. Of course, this means you will find people who are seeking to exorcise them. In between residential disputes and pursued exorcisms, there's acres of nudity and lots of sex.", Liao zhai: Hua nong yue, Released, Chinese,52400000.0,581428834.0,HK
Gumraah,04/07/2023 ,0.0,"Action, Crime, Thriller",A murder investigation becomes complicated after the cops discover a pair of lookalike suspects., गुमराह, Released, Hindi,213940000.0,175269998.8,IN
Legend Quest: The Legend of the Guanajuato Mummies,10/30/2014 ,79.0,"Animation, Horror, Adventure, Comedy, Family",Leo San Juan returns to face the mummys, La Leyenda de las Momias de Guanajuato, Released,Spanish,28859454.6,6300000.0,MX
Batman Returns,06/19/1992 ,69.0,"Action, Fantasy","While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",Batman Returns, Released, English,80000000.0,266824291.0,AU
Mom's Friend 2,09/01/2016 ,43.0,Romance,"An art student named Gwang-ho gets dumped by his girlfriend because she was only his source of comfort, and that he's a Mama's boy and a premature ejaculator. He tries to avoid seeing her by going to a different academy and that's when his mother introduces him to her friend Soo-yeon, a sophisticated and intelligent looking woman. Gwang-ho falls for her.  Gwang-ho's mother suddenly leaves for Australia because his father is sick and Gwang-ho gets to stay in Soo-yeon's house for a few days. Looking at her, he thinks of all the things he would like to do with her and Soo-yeon's niece Ha-kyeong stimulates him to do something about his feelings.", 엄마친구 2, Released, Korean,139800000.0,558017045.2,KR
Pets United,09/11/2020 ,59.0,"Animation, Family, Adventure, Comedy","When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",Pets United, Released, English,120100000.0,612263067.4,AU
Superwho?,02/02/2022 ,64.0,"Comedy, Action","A struggling actor seems doomed to live life as a loser. When he finally snatches a lead role as a superhero named “Badman,” he feels like everything is possible, but fate strikes again.", Super-héros malgré lui, Released, French,43590000.0,7375119.0,FR
Cowboys & Aliens,08/18/2011 ,56.0,"Action, Science Fiction, Thriller, Western","A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",Cowboys & Aliens, Released, English,163000000.0,174822325.0,AU
Senior Year,05/13/2022 ,59.0,Comedy,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,Senior Year, Released, English,135159000.0,234980052.8,AU
Resident Evil: Degeneration,10/18/2008 ,68.0,"Animation, Horror, Action, Science Fiction","Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage.", Baiohazâdo: Dijenerêshon, Released, English,157200000.0,798902641.4,AU
100% Wolf,05/29/2020 ,60.0,"Animation, Family, Fantasy","Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle.  The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever.  With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.",100% Wolf, Released, English,19203585.8,9750139.0,AU
Boyz n the Hood,11/12/1991 ,76.0,"Crime, Drama",Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,Boyz n the Hood, Released, English,6500000.0,56215095.0,AU
My Policeman,10/21/2022 ,79.0,"Drama, Romance","In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",My Policeman, Released, English,82000000.0,451733161.2,US
Dragonball Evolution,02/27/2009 ,29.0,"Action, Adventure, Fantasy, Science Fiction, Thriller","On his 18th birthday, Goku receives a mystical Dragonball as a gift from his grandfather. There are only six others like it in the whole world, and legend has it that whoever possesses all seven will be granted one perfect wish. When the arrival of a dark force triggers a tragedy, Goku and his companions are propelled into an epic quest to collect the seven Dragonballs and save the Earth from destruction.",Dragonball Evolution, Released, English,30000000.0,56511457.0,AU
Movie 43,02/07/2013 ,46.0,Comedy,Fifteen directors and an all-star cast created this twisted comedy that follows three teens on the hunt for the world's most banned film.,Movie 43, Released, English,10000000.0,31164747.0,AU
Step Up 2: The Streets,03/20/2008 ,67.0,"Music, Drama, Romance","When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",Step Up 2: The Streets, Released, English,23000000.0,150816700.0,AU
The Town of Ghosts,01/08/2022 ,20.0,"Thriller, Horror","Yan Yangyi and Bao Hulu strayed into the strange Underworld Town, where they can only enter but cannot leave. Anyone who leaves without authorization will die mysteriously. Although Yan Yangyi doesn't believe in the horror legends all over Yin-Yang Town, he frequently encounters strange things. Will he be able to survive time after time? What was even more unexpected to Yan Yangyi and Bao Hulu was that under the curse, the spooky town has an amazing secret behind it...", 阴阳镇怪谈, Released, Chinese,12001040.0,38139010.0,CN
El lado salvaje,12/01/2022 ,50.0,"Thriller, Drama","After twenty years in Buenos Aires, Clara returns with her husband and daughter to Tierra del Fuego, where she meets her father, with whom she is at odds. Shortly after arriving, she realizes that a pack of dogs is sowing terror.",El lado salvaje, Released,Spanish,165600000.0,372589869.0,AR
Kuroko's Basketball the Movie: Last Game,03/18/2017 ,78.0,Animation,"Shortly after the Inter-High of Kagami and Kuroko's second-year, a street basketball team from the USA called Team Jabberwock came to Japan to play a friendly match against a Japanese college-level street basketball team, Team Strky. Despite their best efforts, Strky is brutally crushed by Jabberwock. After the match, the Jabberwock players insult the players from Strky and all of Japanese basketball, claiming Strky's basketball was at the same level as monkeys and telling the players and crowds to quit playing basketball and kill themselves.  As a revenge match, Kagetora assembles a dream team of all members of Generation of Miracles plus Kuroko Tetsuya and Kagami Taiga, along with bench players Hyūga Junpei, Takao Kazunari, and Wakamatsu Kōsuke, forming Team Vorpal Swords, with the hopes of reclaiming the pride of Japanese basketball.", 劇場版 黒子のバスケ LAST GAME, Released, Japanese,104000000.0,752740099.0,JP
Magic Mike,07/26/2012 ,62.0,"Drama, Comedy","Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.",Magic Mike, Released, English,7000000.0,170549753.0,AU
Overlord,12/13/2018 ,67.0,"Horror, War, Science Fiction","France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.",Overlord, Released, English,38000000.0,39178189.0,AU
Aladdin and the King of Thieves,07/31/1996 ,63.0,"Adventure, Animation, Family","Legendary secrets are revealed as Aladdin and his friends - Jasmine, Abu, Carpet and, of course, the always entertaining Genie - face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",Aladdin and the King of Thieves, Released, English,94944000.0,340525142.6,AU
Tomorrowland,05/28/2015 ,62.0,"Adventure, Family, Mystery, Science Fiction","Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",Tomorrowland, Released, English,170000000.0,206627518.0,AU
Friend Couples: Swapping,02/14/2017 ,30.0,"Romance, Drama","I'm sick and tired of doing it with the same person! We've already seen everything; why don't we swap?  Seon-joo and Jae-yong and Tae-gyun and Ga-hee are two married couples from the same university. They go on a trip together and get drunk and talk about the good times they had and the times they had sex with each other's husband or wife. At first, they felt jealous over this but from some point on, they dream of something exciting once again.", 친구부부 : 욕망의 스와핑, Released, Korean,15541000.0,38139010.0,KR
The Rock,06/21/1996 ,71.0,"Action, Adventure, Thriller","When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the stills to penetrate the impregnable island fortress and take him down.",The Rock, Released, English,75000000.0,336069511.0,AU
The Mountain Between Us,10/19/2017 ,66.0,"Drama, Adventure, Romance","Stranded on a mountain after a tragic plane crash, two strangers must work together to endure the extreme elements of the remote, snow-covered terrain. When they realize help is not coming, they embark on a perilous journey across hundreds of miles of wilderness, pushing each other to survive and discovering their inner strength.",The Mountain Between Us, Released, English,35000000.0,62832209.0,AU
He's Just Not That Into You,02/09/2009 ,65.0,"Comedy, Romance, Drama","Remember that really cute girl/guy who said they'd call – and didn't? Maybe they lost your number. Maybe they're in the hospital. Maybe they're awed by your looks, brains or success. Or maybe... They're just not that into you.",He's Just Not That Into You, Released, English,40000000.0,181053657.0,AU
Wolf Children,08/18/2021 ,82.0,"Animation, Family, Drama, Fantasy, Adventure","After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.", おおかみこどもの雨と雪, Released, Japanese,7911023.8,55060661.0,AU
Of Gods and Men,09/08/2010 ,66.0,"Drama, History","French drama based on the 1996 kidnapping and killing of seven monks in Algeria. A group of Trappist monks reside in the monastery of Tibhirine in Algeria, where they live in harmony with the largely muslim population. When a bloody conflict between Algeria's army and Muslim Jihadi insurgents disrupts the peace, they are forced to consider fleeing the monastery and deserting the villagers they have ministered to. In the face of deadly violence the monks wrestle with their faith and their convictions, eventually deciding to stay and help their neighbours keep the army and the insurgents at bay.", Des hommes et des dieux, Released, French,4000000.0,41424067.0,FR
Trinity Seven 2: Heaven's Library & Crimson Lord,03/29/2019 ,80.0,"Animation, Action, Fantasy, Comedy","The series focuses on the adventures of Arata Kasuga, a high school student, who is targeted by Lilith, a teacher at a mystical school. Given three choices in an effort to help save the breakdown phenomenon of the world by evil forces and while attempting to solve the mystery of his beloved cousin and childhood friend, Hijiri, who disappeared to a difference space.", 劇場版 トリニティセブン -天空図書館と真紅の魔王-, Released, Japanese,20111197.0,15712.0,JP
Secret Magic Control Agency,03/25/2021 ,72.0,"Animation, Comedy, Fantasy","The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House."," Ганзель, Гретель и Агентство Магии", Released, Russian,101600000.0,525056307.4,AU
The Princess Diaries 2: Royal Engagement,10/15/2004 ,67.0,"Comedy, Drama, Family, Romance","Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",The Princess Diaries 2: Royal Engagement, Released, English,45000000.0,134713435.0,AU
8 Mile,01/16/2003 ,71.0,"Drama, Music","For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",8 Mile, Released, English,41000000.0,245768384.0,AU
"Lagunas, la guarida del diablo",05/11/2022 ,48.0,Horror,Josué's routines are violently altered the night his insane brother manages to escape.,"Lagunas, la guarida del diablo", Released,Spanish,147180000.0,222629230.6,ES
xXx,10/03/2002 ,59.0,"Action, Adventure, Thriller","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",xXx, Released, English,70000000.0,267200000.0,AU
Hunter x Hunter: The Last Mission,12/27/2013 ,69.0,"Adventure, Animation, Action, Fantasy","Isaac Netero is the chairman of the Hunter Association. Decades ago he sealed away Jed, a Hunter who had mastered the use of On, the dark ""shadow"" of Nen. Now On users have reappeared at the Heaven's Arena ""Battle Olympia"" tournament. For Netero, this is the last mission: to protect the Association and the world from a threat driven by hatred and the thirst for revenge. And he's going to need all the help he can get in order to succeed.", 劇場版 HUNTER×HUNTER -The LAST MISSION-, Released, Japanese,74600000.0,7449778.0,JP
Alvin and the Chipmunks: The Road Chip,12/26/2015 ,60.0,"Adventure, Animation, Comedy, Family","Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",Alvin and the Chipmunks: The Road Chip, Released, English,90000000.0,249517956.0,AU
Point Break,01/01/1992 ,71.0,"Action, Thriller, Crime","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",Point Break, Released, English,100000000.0,126704591.0,AU
Point Break,01/01/1992 ,71.0,"Action, Thriller, Crime","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",Point Break, Released, English,24000000.0,83531958.0,AU
Showing Up,04/07/2023 ,65.0,"Comedy, Drama","An artist on the verge of a career-changing exhibition navigates family, friends and colleagues in the lead-up to her show and finds that the chaos of life becomes the inspiration for more great art.",Showing Up, Released, English,73000000.0,572490615.4,US
The Sword,10/18/2021 ,53.0,,"Lord of Darkness Artha was born from human struggle and resentment. In ancient times he formed an army of undead to conquer the world. At the moment of final battle human leaders used blood to forge the holy sword to seal Artha. For thousands of years, legends have fallen one after another, and Artha has made a comeback.", 屠魔：王者征途, Released, Chinese,159000000.0,279278382.2,CN
Epic,06/13/2013 ,65.0,"Animation, Adventure, Family, Fantasy",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world - and ours.,Epic, Released, English,100000000.0,262794441.0,AU
Berserk: The Golden Age Arc I - The Egg of the King,02/03/2012 ,74.0,"Action, Adventure, Fantasy, Animation","Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?", ベルセルク 黄金時代篇I 覇王の卵, Released, Japanese,113400000.0,611894286.8,JP
It’s Your Fault That My Heart Beats,06/04/2021 ,73.0,"Romance, Drama","When Tsukasa was a middle school student, she had a crush on transfer student Hayato and even confessed her feelings to him. She was turned down by Hayato. Now, Tsukasa and Hayato are classmates in high school. Hayato treats Tsukasa as just a friend, but Tsukasa still has feelings for him. Meanwhile, Hayato becomes attracted to Tsukasa.", 胸が鳴るのは君のせい, Released, Japanese,127520000.0,616483742.4,JP
Night at the Museum: Battle of the Smithsonian,05/21/2009 ,61.0,"Adventure, Fantasy, Action, Comedy, Family","Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",Night at the Museum: Battle of the Smithsonian, Released, English,150000000.0,402231063.0,AU
Hop,04/07/2011 ,57.0,"Animation, Comedy, Family","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In L.A., he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",Hop, Released, English,63000000.0,188494082.0,AU
Highlander,07/17/1986 ,69.0,"Adventure, Action, Fantasy",He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,Highlander, Released, English,16000000.0,12900000.0,AU
Raped by an Angel 3: Sexual Fantasy of the Chief Executive,07/03/1998 ,52.0,Thriller,"A series of rapes are occurring in an Office Building. The Chief Executive is experiencing some weird visions and hallucinations. When someone close to a Cop is raped, the investigation increases ten-fold.", 強姦3：OL誘惑, Released, Cantonese,149000000.0,298705309.0,HK
The Irishman,11/06/2019 ,76.0,"Crime, Drama, History","Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",The Irishman, Released, English,159000000.0,914706.0,AU
Gone Mom: The Disappearance of Jennifer Dulos,06/05/2021 ,78.0,"TV Movie, Thriller, Crime","Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.",Gone Mom: The Disappearance of Jennifer Dulos, Released, English,132200000.0,496218384.2,US
Walking with Dinosaurs,01/01/2014 ,61.0,"Animation, Family, Adventure","Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",Walking with Dinosaurs, Released, English,80000000.0,123368842.0,AU
The Accountant,12/16/2016 ,71.0,"Crime, Thriller, Drama","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",The Accountant, Released, English,40000000.0,152962083.0,AU
"Me, Myself & Irene",06/22/2000 ,66.0,Comedy,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.","Me, Myself & Irene", Released, English,51000000.0,149270999.0,AU
Never Back Down 2: The Beatdown,09/13/2011 ,65.0,"Drama, Action",Four fighters from different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in their midst.,Never Back Down 2: The Beatdown, Released, English,3000000.0,0.0,US
